,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
40,30.0,80.0,30.0,30.0,30.0,30.0,2.0,12.0,0.0,2.0,2.0,1.0,6.0,16.0,6.0,6.0,6.0,6.0,1024.0,80.0
41,30.0,30.0,30.0,80.0,30.0,65.0,1.0,2.0,1.0,11.0,1.0,5.0,6.0,6.0,6.0,16.0,6.0,13.0,1024.0,80.0
42,30.0,75.0,30.0,80.0,30.0,65.0,2.0,6.0,1.0,8.0,2.0,5.0,6.0,15.0,6.0,16.0,6.0,13.0,1024.0,80.0
43,30.0,80.0,30.0,80.0,30.0,30.0,0.0,8.0,1.0,13.0,2.0,2.0,6.0,16.0,6.0,16.0,6.0,6.0,1024.0,80.0
44,30.0,80.0,30.0,80.0,30.0,30.0,2.0,10.0,1.0,10.0,2.0,2.0,6.0,16.0,6.0,16.0,6.0,6.0,1024.0,80.0
45,65.0,80.0,65.0,80.0,75.0,30.0,5.0,12.0,5.0,8.0,6.0,0.0,13.0,16.0,13.0,16.0,15.0,6.0,1024.0,80.0
46,30.0,80.0,30.0,80.0,30.0,80.0,1.0,11.0,2.0,11.0,1.0,9.0,6.0,16.0,6.0,16.0,6.0,16.0,1024.0,80.0
47,30.0,80.0,30.0,80.0,65.0,30.0,2.0,10.0,1.0,10.0,5.0,1.0,6.0,16.0,6.0,16.0,13.0,6.0,1024.0,80.0
48,30.0,80.0,30.0,80.0,30.0,80.0,1.0,9.0,1.0,12.0,2.0,11.0,6.0,16.0,6.0,16.0,6.0,16.0,1024.0,80.0
49,30.0,80.0,45.0,80.0,30.0,30.0,2.0,7.0,3.0,9.0,2.0,2.0,6.0,16.0,9.0,16.0,6.0,6.0,1024.0,80.0
