,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
14,18.0,18.0,114.0,516.0,54.0,90.0,3.0,4.0,17.0,97.0,10.0,19.0,6.0,6.0,38.0,172.0,18.0,30.0,15360.0,720.0
15,18.0,18.0,69.0,645.0,18.0,42.0,3.0,4.0,10.0,138.0,1.0,8.0,6.0,6.0,23.0,215.0,6.0,14.0,15360.0,720.0
16,18.0,18.0,57.0,681.0,18.0,18.0,3.0,4.0,7.0,133.0,1.0,1.0,6.0,6.0,19.0,227.0,6.0,6.0,15360.0,720.0
17,18.0,18.0,18.0,642.0,24.0,90.0,2.0,5.0,0.0,118.0,2.0,13.0,6.0,6.0,6.0,214.0,8.0,30.0,15360.0,720.0
18,18.0,18.0,63.0,639.0,24.0,48.0,3.0,5.0,7.0,119.0,3.0,8.0,6.0,6.0,21.0,213.0,8.0,16.0,15360.0,720.0
19,18.0,18.0,30.0,702.0,18.0,24.0,3.0,3.0,2.0,127.0,1.0,3.0,6.0,6.0,10.0,234.0,6.0,8.0,15360.0,720.0
20,18.0,18.0,18.0,690.0,45.0,21.0,0.0,5.0,1.0,143.0,9.0,3.0,6.0,6.0,6.0,230.0,15.0,7.0,15360.0,720.0
21,18.0,18.0,33.0,690.0,33.0,18.0,2.0,3.0,3.0,135.0,5.0,1.0,6.0,6.0,11.0,230.0,11.0,6.0,15360.0,720.0
22,18.0,18.0,87.0,594.0,39.0,54.0,1.0,3.0,11.0,107.0,6.0,10.0,6.0,6.0,29.0,198.0,13.0,18.0,15360.0,720.0
23,18.0,18.0,27.0,711.0,18.0,18.0,0.0,3.0,2.0,144.0,1.0,1.0,6.0,6.0,9.0,237.0,6.0,6.0,15360.0,720.0
24,18.0,18.0,18.0,672.0,21.0,63.0,2.0,4.0,0.0,142.0,3.0,14.0,6.0,6.0,6.0,224.0,7.0,21.0,15360.0,720.0
25,18.0,18.0,39.0,636.0,21.0,78.0,4.0,1.0,3.0,122.0,2.0,13.0,6.0,6.0,13.0,212.0,7.0,26.0,15360.0,720.0
26,18.0,18.0,42.0,672.0,24.0,36.0,2.0,4.0,4.0,129.0,3.0,5.0,6.0,6.0,14.0,224.0,8.0,12.0,15360.0,720.0
27,18.0,18.0,48.0,645.0,33.0,48.0,3.0,1.0,5.0,126.0,5.0,9.0,6.0,6.0,16.0,215.0,11.0,16.0,15360.0,720.0
28,18.0,18.0,33.0,687.0,18.0,36.0,2.0,4.0,3.0,133.0,2.0,6.0,6.0,6.0,11.0,229.0,6.0,12.0,15360.0,720.0
29,18.0,18.0,21.0,711.0,21.0,21.0,1.0,4.0,1.0,133.0,2.0,2.0,6.0,6.0,7.0,237.0,7.0,7.0,15360.0,720.0
30,18.0,18.0,18.0,714.0,24.0,18.0,1.0,5.0,0.0,144.0,3.0,1.0,6.0,6.0,6.0,238.0,8.0,6.0,15360.0,720.0
31,18.0,18.0,18.0,684.0,18.0,54.0,2.0,4.0,1.0,141.0,2.0,11.0,6.0,6.0,6.0,228.0,6.0,18.0,15360.0,720.0
32,18.0,18.0,30.0,657.0,39.0,48.0,3.0,3.0,2.0,128.0,6.0,8.0,6.0,6.0,10.0,219.0,13.0,16.0,15360.0,720.0
33,18.0,18.0,33.0,687.0,36.0,18.0,1.0,3.0,3.0,140.0,6.0,2.0,6.0,6.0,11.0,229.0,12.0,6.0,15360.0,720.0
34,18.0,18.0,42.0,678.0,21.0,33.0,1.0,4.0,5.0,140.0,3.0,6.0,6.0,6.0,14.0,226.0,7.0,11.0,15360.0,720.0
