,0,1,2,3,4,5,6,7,8,9,10,11,12,13
40,19.0,19.0,19.0,19.0,23.0,28.0,22.0,28.0,71.0,42.0,71.0,42.0,1017.0,19.0
41,19.0,19.0,19.0,19.0,17.0,24.0,25.0,24.0,71.0,42.0,71.0,42.0,1017.0,19.0
42,19.0,19.0,19.0,19.0,27.0,20.0,24.0,26.0,71.0,42.0,71.0,42.0,1017.0,19.0
43,19.0,19.0,19.0,19.0,17.0,24.0,22.0,30.0,71.0,42.0,71.0,42.0,1017.0,19.0
44,19.0,19.0,19.0,19.0,21.0,23.0,17.0,27.0,71.0,42.0,71.0,42.0,1017.0,19.0
45,19.0,19.0,19.0,19.0,17.0,28.0,31.0,28.0,71.0,42.0,71.0,42.0,1017.0,19.0
46,19.0,19.0,19.0,19.0,19.0,29.0,20.0,22.0,71.0,42.0,71.0,42.0,1017.0,19.0
47,19.0,19.0,19.0,19.0,23.0,27.0,24.0,23.0,71.0,42.0,71.0,42.0,1017.0,19.0
48,19.0,19.0,19.0,19.0,23.0,25.0,11.0,25.0,71.0,42.0,71.0,42.0,1017.0,19.0
49,19.0,19.0,19.0,19.0,21.0,26.0,25.0,32.0,71.0,42.0,71.0,42.0,1017.0,19.0
